OBJECTID,SPECIESCODE,LATINNAME,GENUS,SPECIES,CULTIVAR,COMMONNAME,SPECIESNAME,ALTCOMMON,LEAFCYCLE,LEAFTYPE,BOULDERNUM,RECOMMEND
110,MATS,Malus tschonoskii,Malus,tschonoskii,,Chonosuki crabapple,"crabapple, Chonosuki",,deciduous,broadleaved,7,no
139,PLOR,Platanus orientalis,Platanus,orientalis,,Oriental planetree,"planetree, Oriental",,deciduous,broadleaved,1,no
167,PSME,Pseudotsuga menziesii,Pseudotsuga,menziesii,,Douglas-fir,Douglas-fir,,evergreen,needleleaved,194,yes
48,CELA,Celtis laevigata Reticulata,Celtis,laevigata,Reticulata,Netleaf hackberry,"hackberry, Netleaf",Western hackberry,deciduous,broadleaved,10,no
161,PRSE1,Prunus serotina,Prunus,serotina,,Black cherry,"cherry, Black",,deciduous,broadleaved,15,yes
133,PIST2,Pinus strobiformis,Pinus,strobiformis,,Southwestern White pine,"pine, Southwestern White",,evergreen,needleleaved,47,yes
196,RHTY,Rhus typhina,Rhus,typhina,,Staghorn sumac,"sumac, Staghorn",,deciduous,broadleaved,51,no
8,ACGR,Acer griseum,Acer,griseum,,Paperbark maple,"maple, Paperbark",,deciduous,broadleaved,3,no
56,COMA,Cornus mas,Cornus,mas,,Cornelian Cherry dogwood,"dogwood, Cornelian Cherry",,deciduous,broadleaved,1,no
135,PISY,Pinus sylvestris,Pinus,sylvestris,,Scotch pine,"pine, Scotch",,evergreen,needleleaved,242,yes
30,AMCA,Amelanchier canadensis,Amelanchier,canadensis,,Serviceberry,Serviceberry,Shadblow serviceberry,deciduous,broadleaved,98,yes
122,PICO,Pinus contorta,Pinus,contorta,,Lodgepole pine,"pine, Lodgepole",,evergreen,needleleaved,70,yes
21,ACFRJE,Acer x freemanii Autumn Blaze,Acer,x freemanii,Autumn Blaze,Autumn Blaze maple,"maple, Autumn Blaze",,deciduous,broadleaved,34,no
205,SANI,Salix nigra,Salix,nigra,,Black willow,"willow, Black",,deciduous,broadleaved,2,no
218,THPL,Thuja plicata,Thuja,plicata,,Western redcedar,"redcedar, Western",,evergreen,needleleaved,0,no
254,ACSA2,Acer saccharum,Acer,saccharum,Legacy,Legacy Sugar maple,"maple, Legacy Sugar",,deciduous,broadleaved,0,yes
17,ACSA2,Acer saccharum,Acer,saccharum,,Sugar maple,"maple, Sugar",,deciduous,broadleaved,540,yes
114,MO,Morus spp,Morus,spp,,mulberry unknown species,mulberry unknown species,,deciduous,broadleaved,1,no
